                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                  1.055,                 1.6465,                0.85836,                0.45228,                0.26274,                0.27648,                  0.216,                0.92766,                 1.4513,                0.84368,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.0633,                 1.6546,                0.85924,                0.45033,                 0.2633,                0.27689,                0.21641,                 0.9267,                 1.4508,                0.84351,               0.006733,               0.006733,               0.006733
                     69,                 1.0524,                 1.6336,                0.85625,                 0.4496,                 0.2636,                0.27646,                0.21587,                0.92699,                 1.4484,                 0.8436,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.0504,                 1.6288,                0.85754,                0.45663,                0.26279,                0.27656,                0.21614,                0.92657,                 1.4475,                0.84348,               0.006634,               0.006634,               0.006634
                     71,                 1.0552,                 1.6342,                0.85898,                0.46306,                0.26244,                0.27744,                0.21719,                0.92631,                 1.4469,                0.84337,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.0511,                  1.633,                0.85873,                0.46726,                0.26074,                0.27786,                0.21719,                  0.926,                 1.4458,                0.84337,               0.006535,               0.006535,               0.006535
                     73,                 1.0508,                 1.6389,                0.85644,                0.47224,                0.25846,                0.27792,                0.21696,                0.92563,                 1.4445,                0.84344,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.0502,                 1.6276,                0.85725,                 0.4838,                 0.2568,                0.27802,                0.21689,                 0.9252,                 1.4435,                 0.8433,               0.006436,               0.006436,               0.006436
                     75,                 1.0463,                 1.6217,                0.85469,                0.49257,                0.25555,                0.27865,                0.21743,                0.92466,                 1.4408,                0.84325,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.0491,                 1.6243,                0.85432,                0.48584,                0.25812,                0.27954,                0.21772,                0.92457,                 1.4394,                0.84326,               0.006337,               0.006337,               0.006337
                     77,                 1.0562,                 1.6355,                0.85612,                0.48087,                0.25932,                0.28043,                0.21833,                0.92437,                 1.4382,                0.84324,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.0433,                 1.6144,                0.85556,                  0.457,                0.26533,                0.28079,                0.21856,                0.92476,                 1.4363,                0.84318,               0.006238,               0.006238,               0.006238
                     79,                 1.0454,                 1.6221,                  0.856,                0.45306,                0.26542,                0.28135,                0.21922,                0.92417,                 1.4362,                0.84313,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.0408,                 1.6008,                0.85785,                0.44967,                0.26919,                0.28165,                0.21935,                0.92339,                 1.4353,                0.84295,               0.006139,               0.006139,               0.006139
                     81,                 1.0489,                 1.6163,                0.85626,                0.45149,                0.26988,                0.28231,                0.21997,                0.92286,                 1.4349,                0.84302,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.0385,                 1.5981,                0.85378,                0.46829,                0.26497,                0.28168,                0.21958,                0.92271,                 1.4337,                0.84287,                0.00604,                0.00604,                0.00604
                     83,                 1.0386,                 1.5873,                0.85405,                0.47372,                0.26538,                0.28222,                0.22007,                0.92205,                 1.4331,                0.84289,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.0378,                  1.595,                0.85585,                 0.4805,                0.26364,                 0.2851,                0.22221,                 0.9215,                 1.4319,                0.84279,               0.005941,               0.005941,               0.005941
                     85,                 1.0434,                 1.5939,                 0.8567,                0.47773,                0.26509,                0.28558,                0.22263,                0.92139,                 1.4311,                0.84269,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.0409,                 1.6003,                0.85426,                0.47329,                0.26541,                0.28551,                0.22253,                0.92097,                 1.4293,                0.84266,               0.005842,               0.005842,               0.005842
                     87,                 1.0354,                 1.5928,                0.85419,                0.45849,                0.26983,                0.28554,                0.22284,                0.92047,                 1.4281,                0.84265,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.0376,                 1.5825,                0.85482,                0.46608,                0.26851,                0.28596,                0.22329,                0.92011,                 1.4263,                0.84257,               0.005743,               0.005743,               0.005743
                     89,                 1.0356,                 1.5801,                0.85401,                0.47311,                0.26971,                0.28617,                0.22289,                0.92013,                 1.4258,                0.84256,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.0364,                 1.5919,                 0.8548,                0.47577,                0.27012,                0.28672,                0.22345,                0.91997,                 1.4242,                 0.8426,               0.005644,               0.005644,               0.005644
                     91,                 1.0371,                 1.5848,                0.85485,                0.47837,                0.27024,                0.28656,                0.22306,                0.91953,                 1.4229,                0.84244,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.0311,                 1.5763,                 0.8542,                0.47951,                0.27013,                0.28723,                0.22356,                0.91989,                 1.4214,                0.84243,               0.005545,               0.005545,               0.005545
